Task,who id,what id,Related association,Due date,Task sub type,description,Status,Priority
task 503,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 504,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 505,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 506,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 507,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 508,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 509,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 510,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 511,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 512,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 513,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 514,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 515,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 516,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 517,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 518,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 519,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 520,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 521,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 522,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 523,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 524,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 525,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 526,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 527,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 528,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 529,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 530,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 531,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 532,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 533,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 534,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 535,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 536,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 537,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 538,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 539,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 540,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 541,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 542,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 543,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 544,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 545,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 546,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 547,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 548,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 549,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 550,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 551,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 552,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 553,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 554,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 555,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 556,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 557,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 558,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 559,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 560,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 561,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 562,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 563,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 564,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 565,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 566,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 567,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 568,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 569,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 570,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 571,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 572,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 573,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 574,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 575,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 576,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 577,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 578,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 579,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 580,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 581,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 582,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 583,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 584,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 585,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 586,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 587,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 588,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 589,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 590,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 591,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 592,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 593,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 594,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 595,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 596,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 597,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 598,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 599,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 600,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 601,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 602,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 603,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 604,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 605,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 606,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 607,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 608,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 609,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 610,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 611,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 612,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 613,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 614,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 615,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 616,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 617,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 618,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 619,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 620,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 621,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 622,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 623,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 624,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 625,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 626,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 627,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 628,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 629,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 630,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 631,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 632,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 633,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 634,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 635,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 636,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 637,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 638,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 639,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 640,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 641,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 642,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 643,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 644,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 645,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 646,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 647,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 648,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 649,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 650,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 651,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 652,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 653,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 654,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 655,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 656,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 657,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 658,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 659,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 660,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 661,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 662,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 663,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 664,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 665,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 666,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 667,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 668,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 669,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 670,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 671,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 672,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 673,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 674,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 675,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 676,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 677,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 678,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 679,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 680,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 681,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 682,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 683,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 684,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 685,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 686,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 687,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 688,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 689,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 690,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 691,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 692,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 693,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 694,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 695,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 696,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 697,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 698,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 699,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 700,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 701,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 702,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 703,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 704,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 705,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 706,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 707,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 708,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 709,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 710,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 711,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 712,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 713,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 714,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 715,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 716,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 717,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 718,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 719,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 720,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 721,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 722,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 723,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 724,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 725,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 726,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 727,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 728,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 729,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 730,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 731,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 732,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 733,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 734,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 735,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 736,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 737,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 738,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 739,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 740,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 741,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 742,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 743,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 744,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 745,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 746,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 747,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
